Date,City,PM2.5,PM10,NO,NO2,NOX,NH3,CO,SO2,O3,Benzene,Toluene,Xylane,AQI,AQI_Bucket,City_Code
01-01-2015,Ahmedabad,0,0,0.92,18.22,17.15,0,0.92,27.64,63.78,0,0.02,0,63.78,Satisfactory,GJ001
02-01-2015,Ahmedabad,0,0,0.93,15.69,15.78,0,0.93,24.55,9.93,3.68,5.5,3.77,24.55,Good,GJ001
03-01-2015,Ahmedabad,0,0,10.88,19.3,29.7,0,10.88,29.07,30.7,6.8,16.4,2.25,30.7,Good,GJ001
04-01-2015,Ahmedabad,0,0,1.27,18.48,17.97,0,1.27,18.59,36.08,4.43,10.14,1,36.08,Good,GJ001
05-01-2015,Ahmedabad,0,0,16.58,21.42,37.76,0,16.58,39.33,39.31,7.01,18.89,2.78,39.33,Good,GJ001
06-01-2015,Ahmedabad,0,0,43.52,38.48,81.5,0,43.52,45.76,46.51,5.42,10.83,1.93,81.5,Satisfactory,GJ001
07-01-2015,Ahmedabad,0,0,93.47,40.62,130.77,0,93.47,32.28,33.47,0,0,0,130.77,Modarate,GJ001
08-01-2015,Ahmedabad,0,0,60.65,36.74,96.75,0,60.65,38.54,31.89,0,0,0,96.75,Satisfactory,GJ001
09-01-2015,Ahmedabad,0,0,19.44,31,44,0,19.44,58.68,25.75,0,0,0,58.68,Satisfactory,GJ001
10-01-2015,Ahmedabad,0,0,0,0.88,0,0,0,1.04,0.57,0,0,0,1.04,Good,GJ001
11-01-2015,Ahmedabad,0,0,16.51,6.98,24.53,0,16.51,3.13,0.85,0,0,0,24.53,Good,GJ001
12-01-2015,Ahmedabad,0,0,49.87,40.67,90.24,0,49.87,51.84,45.89,2.41,0.03,7.88,90.24,Satisfactory,GJ001
13-01-2015,Ahmedabad,0,0,44.75,44.2,87.09,0,44.75,65.37,35.16,9.45,13.35,12.5,87.09,Satisfactory,GJ001
14-01-2015,Ahmedabad,0,0,8.8,27.86,33.05,0,8.8,50.45,20.96,2.16,2.26,5.19,50.45,Satisfactory,GJ001
15-01-2015,Ahmedabad,0,0,0.45,16.96,16.6,0,0.45,28.89,47.63,0.14,0.04,1.35,47.63,Good,GJ001
16-01-2015,Ahmedabad,0,0,1.49,21.72,22.86,0,1.49,38.27,46.03,0.35,0.05,2.01,46.03,Good,GJ001
17-01-2015,Ahmedabad,0,0,10.49,24.73,34.75,0,10.49,49.5,52.24,0.68,0,3.27,52.24,Satisfactory,GJ001
18-01-2015,Ahmedabad,0,0,5.08,25.77,29.57,0,5.08,48.43,53.49,0.74,0.21,2.75,53.49,Satisfactory,GJ001
19-01-2015,Ahmedabad,0,0,2.19,26.88,27.45,0,2.19,50.03,49.48,0.27,0.02,2.8,50.03,Satisfactory,GJ001
20-01-2015,Ahmedabad,0,0,5.94,26.8,32.4,0,5.94,56.42,56.37,0.24,0.01,3.97,56.42,Satisfactory,GJ001
21-01-2015,Ahmedabad,0,0,7.93,33.56,39.28,0,7.93,102.47,48.75,0.33,0,5.65,102.47,Modarate,GJ001
22-01-2015,Ahmedabad,0,0,6.03,17.51,22.33,0,6.03,23.71,42.22,0,0,4.51,42.22,Good,GJ001
23-01-2015,Ahmedabad,0,0,20.66,27.96,47.79,0,20.66,39.19,32.92,0.39,0,5.95,47.79,Good,GJ001
24-01-2015,Ahmedabad,0,0,1.86,20.39,21.4,0,1.86,40.07,32.49,0.47,0.7,1.54,40.07,Good,GJ001
