Date,City,Population_Millions,PM2_5,AQI,AQI_Category,Respiratory_Admissions_per_100k,Respiratory_Admissions_EstCases,Cardiovascular_Admissions_per_100k,Cardiovascular_Admissions_EstCases,Asthma_ER_Visits_per_100k,Asthma_ER_Visits_EstCases,Mortality_per_100k,Mortality_EstCases,Health_Risk_Index,City Code
01-01-2015,Bengaluru,13.2,54.5,91,Satisfactory,2.423,320,3.448,455,1.636,216,0.235,31,29.4,KA002
02-01-2015,Bengaluru,13.2,57.5,96,Satisfactory,2.226,294,3.088,408,1.502,198,0.221,29,27,KA002
03-01-2015,Bengaluru,13.2,39.6,66,Satisfactory,2.077,274,3.022,399,1.511,199,0.223,29,26.6,KA002
04-01-2015,Bengaluru,13.2,40.1,66,Satisfactory,2.01,265,3.528,466,1.719,227,0.242,32,29,KA002
05-01-2015,Bengaluru,13.2,43.9,73,Satisfactory,2.166,286,3.19,421,1.559,206,0.236,31,27.8,KA002
06-01-2015,Bengaluru,13.2,41.7,69,Satisfactory,2.195,290,3.326,439,1.426,188,0.217,29,27,KA002
07-01-2015,Bengaluru,13.2,48.8,81,Satisfactory,2.239,296,3.274,432,1.822,240,0.245,32,29.7,KA002
08-01-2015,Bengaluru,13.2,33.2,55,Satisfactory,2.199,290,3.241,428,1.527,202,0.215,28,27.2,KA002
09-01-2015,Bengaluru,13.2,39.1,65,Satisfactory,2.464,325,2.757,364,1.444,191,0.225,30,26.9,KA002
10-01-2015,Bengaluru,13.2,58.3,97,Satisfactory,2.277,301,3.298,435,1.593,210,0.237,31,28.6,KA002
11-01-2015,Bengaluru,13.2,40.5,67,Satisfactory,2.232,295,3.143,415,1.369,181,0.233,31,27,KA002
12-01-2015,Bengaluru,13.2,56.1,93,Satisfactory,2.061,272,3.403,449,1.514,200,0.253,33,28.3,KA002
13-01-2015,Bengaluru,13.2,49.8,83,Satisfactory,2.588,342,3.033,400,1.647,217,0.227,30,28.8,KA002
14-01-2015,Bengaluru,13.2,34.2,56,Satisfactory,2.035,269,3.334,440,1.387,183,0.232,31,26.8,KA002
15-01-2015,Bengaluru,13.2,51.8,86,Satisfactory,2.195,290,2.963,391,1.44,190,0.244,32,27.2,KA002
16-01-2015,Bengaluru,13.2,46.4,77,Satisfactory,2.361,312,3.082,407,1.638,216,0.252,33,29,KA002
17-01-2015,Bengaluru,13.2,43.9,73,Satisfactory,2.288,302,2.858,377,1.742,230,0.217,29,27.7,KA002
18-01-2015,Bengaluru,13.2,49,81,Satisfactory,2.504,331,2.975,393,1.613,213,0.253,33,29.2,KA002
19-01-2015,Bengaluru,13.2,50.6,84,Satisfactory,2.386,315,3.19,421,1.735,229,0.241,32,29.4,KA002
