Date,City_Name,Avg_Temp,Max_Temp,Min_Temp,Avg_Humidity,Total_Rainfall,Avg_WindSpeed,Avg_CloudCover,Avg_Pressure,City_Code
2009-01-01,Bengaluru,19.04,27,12,66.5,0.0,6.71,6.96,1013.88,KA002
2009-01-02,Bengaluru,20.63,27,16,69.92,0.0,7.96,36.42,1014.33,KA002
2009-01-03,Bengaluru,20.17,25,15,71.0,0.0,8.33,42.0,1015.0,KA002
2009-01-04,Bengaluru,20.79,27,15,67.29,0.0,7.63,38.17,1014.25,KA002
2009-01-05,Bengaluru,20.67,28,16,67.08,0.0,7.5,25.13,1012.71,KA002
2009-01-06,Bengaluru,19.79,28,13,60.46,0.0,6.92,5.08,1012.88,KA002
2009-01-07,Bengaluru,19.71,26,15,79.29,0.2,8.29,56.21,1014.17,KA002
2009-01-08,Bengaluru,20.21,25,18,84.92,2.1,11.38,61.79,1015.96,KA002
2009-01-09,Bengaluru,21.38,27,17,70.21,0.0,12.08,22.46,1016.38,KA002
2009-01-10,Bengaluru,20.67,27,16,66.25,0.0,13.54,27.0,1016.21,KA002
2009-01-11,Bengaluru,20.75,27,15,69.79,0.0,11.38,20.46,1016.46,KA002
2009-01-12,Bengaluru,19.96,27,15,62.17,0.0,12.29,4.5,1017.83,KA002
2009-01-13,Bengaluru,19.46,26,14,66.63,0.0,15.38,10.88,1018.5,KA002
2009-01-14,Bengaluru,19.38,25,14,70.96,0.0,13.38,35.13,1018.38,KA002
2009-01-15,Bengaluru,19.92,27,14,68.46,0.0,13.79,16.88,1018.21,KA002
2009-01-16,Bengaluru,20.04,27,15,66.17,0.0,10.92,12.25,1017.46,KA002
2009-01-17,Bengaluru,19.88,27,13,66.29,0.0,11.08,10.54,1016.25,KA002
2009-01-18,Bengaluru,19.79,27,13,60.25,0.0,8.96,8.46,1015.33,KA002
2009-01-19,Bengaluru,20.54,28,15,56.58,0.0,10.38,3.08,1014.46,KA002
2009-01-20,Bengaluru,20.21,28,13,58.83,0.0,11.13,5.83,1014.75,KA002
2009-01-21,Bengaluru,20.25,30,12,54.25,0.0,8.58,2.25,1014.54,KA002
2009-01-22,Bengaluru,20.54,29,13,56.79,0.0,9.0,0.75,1013.54,KA002
2009-01-23,Bengaluru,21.13,30,14,52.17,0.0,8.25,0.0,1012.54,KA002
2009-01-24,Bengaluru,21.25,31,13,51.13,0.0,9.67,0.29,1012.21,KA002
2009-01-25,Bengaluru,21.83,31,13,52.21,0.0,9.17,13.38,1012.67,KA002
2009-01-26,Bengaluru,21.75,30,14,59.63,0.0,9.79,7.92,1013.25,KA002
2009-01-27,Bengaluru,23.25,31,15,65.0,0.1,7.46,41.54,1013.0,KA002
2009-01-28,Bengaluru,24.46,32,18,61.96,0.3,7.67,28.75,1012.58,KA002
2009-01-29,Bengaluru,23.54,32,17,55.38,0.0,9.08,17.38,1012.92,KA002
2009-01-30,Bengaluru,22.38,31,16,42.67,0.0,11.25,2.92,1013.21,KA002
2009-01-31,Bengaluru,22.13,31,15,44.67,0.0,10.79,3.21,1013.29,KA002
2009-02-01,Bengaluru,22.63,32,14,47.17,0.0,10.08,0.88,1013.71,KA002
2009-02-02,Bengaluru,22.88,32,15,49.29,0.0,9.42,2.42,1014.08,KA002
2009-02-03,Bengaluru,22.92,31,16,51.79,0.0,9.88,4.71,1013.75,KA002
2009-02-04,Bengaluru,23.08,31,16,52.29,0.0,8.96,8.83,1014.29,KA002
2009-02-05,Bengaluru,22.83,30,16,50.58,0.0,9.38,7.25,1014.42,KA002
2009-02-06,Bengaluru,22.75,31,15,47.67,0.0,9.29,4.67,1014.0,KA002
2009-02-07,Bengaluru,22.58,30,15,54.17,0.0,11.67,4.0,1013.46,KA002
2009-02-08,Bengaluru,22.58,30,15,54.33,0.0,11.25,5.0,1014.79,KA002
2009-02-09,Bengaluru,22.0,30,15,52.79,0.0,13.92,3.21,1015.13,KA002
2009-02-10,Bengaluru,22.0,30,13,49.25,0.0,9.08,4.29,1014.0,KA002
2009-02-11,Bengaluru,22.75,32,13,40.96,0.0,6.46,5.83,1012.71,KA002
2009-02-12,Bengaluru,24.29,33,15,41.79,0.0,5.5,7.42,1012.13,KA002
2009-02-13,Bengaluru,24.58,34,17,39.54,0.0,6.17,4.92,1011.63,KA002
2009-02-14,Bengaluru,24.54,33,17,37.29,0.0,6.04,6.29,1011.71,KA002
2009-02-15,Bengaluru,23.54,32,16,40.38,0.0,10.17,4.13,1011.17,KA002
2009-02-16,Bengaluru,23.17,31,16,40.96,0.0,12.63,0.92,1012.08,KA002
2009-02-17,Bengaluru,22.08,30,15,45.42,0.0,13.75,0.25,1013.21,KA002
2009-02-18,Bengaluru,22.29,31,14,48.33,0.0,10.79,2.5,1012.38,KA002
2009-02-19,Bengaluru,22.92,31,15,42.17,0.0,13.42,0.0,1011.21,KA002
2009-02-20,Bengaluru,23.13,31,15,49.63,0.0,13.0,5.79,1012.83,KA002
2009-02-21,Bengaluru,24.0,32,16,58.42,0.0,10.33,14.5,1012.5,KA002
2009-02-22,Bengaluru,25.63,33,18,52.75,0.0,13.58,10.25,1010.13,KA002
2009-02-23,Bengaluru,25.75,34,18,47.58,0.0,11.04,4.83,1010.67,KA002
2009-02-24,Bengaluru,26.25,35,18,45.96,0.0,6.75,2.58,1011.0,KA002
2009-02-25,Bengaluru,27.25,36,18,40.83,0.0,5.92,4.46,1009.96,KA002
2009-02-26,Bengaluru,28.38,37,20,37.67,0.0,7.67,4.58,1009.54,KA002
2009-02-27,Bengaluru,26.38,35,20,35.0,0.0,10.33,1.92,1011.21,KA002
2009-02-28,Bengaluru,25.46,35,15,26.21,0.0,6.5,0.0,1011.21,KA002
2009-03-01,Bengaluru,26.33,36,17,25.58,0.0,8.25,0.0,1010.33,KA002
2009-03-02,Bengaluru,26.67,35,18,32.54,0.0,9.63,0.96,1010.71,KA002
2009-03-03,Bengaluru,25.96,35,18,36.63,0.0,8.71,0.71,1010.96,KA002
2009-03-04,Bengaluru,26.54,37,18,32.08,0.0,7.04,1.33,1010.67,KA002
2009-03-05,Bengaluru,26.21,35,18,30.13,0.0,8.42,1.08,1010.38,KA002
2009-03-06,Bengaluru,26.25,37,17,27.58,0.0,6.0,0.5,1010.71,KA002
2009-03-07,Bengaluru,26.79,35,18,27.13,0.0,8.79,1.54,1010.08,KA002
2009-03-08,Bengaluru,25.96,34,18,28.67,0.0,13.63,0.33,1010.63,KA002
2009-03-09,Bengaluru,24.38,32,17,32.63,0.0,11.92,42.25,1012.54,KA002
2009-03-10,Bengaluru,21.54,25,20,70.79,0.9,12.92,48.08,1013.71,KA002
2009-03-11,Bengaluru,22.67,28,19,78.75,6.6,7.5,69.29,1013.38,KA002
2009-03-12,Bengaluru,21.21,22,20,89.5,8.0,5.5,46.17,1012.71,KA002
2009-03-13,Bengaluru,23.92,30,19,60.29,0.0,9.71,22.25,1013.5,KA002
2009-03-14,Bengaluru,24.25,30,20,61.0,0.6,9.83,25.79,1013.0,KA002
2009-03-15,Bengaluru,23.17,31,19,64.08,1.0,4.29,37.0,1012.67,KA002
2009-03-16,Bengaluru,24.88,32,19,52.38,0.7,7.88,14.08,1011.08,KA002
2009-03-17,Bengaluru,25.38,32,18,45.33,0.0,8.33,7.17,1011.13,KA002
2009-03-18,Bengaluru,25.96,33,19,40.04,0.0,8.54,5.58,1010.96,KA002
2009-03-19,Bengaluru,25.46,34,18,41.17,0.0,9.79,2.63,1010.75,KA002
2009-03-20,Bengaluru,26.33,35,18,35.96,0.0,7.17,2.13,1010.58,KA002
2009-03-21,Bengaluru,26.13,33,19,45.42,0.1,4.58,15.5,1010.25,KA002
2009-03-22,Bengaluru,25.75,30,20,48.08,0.8,6.17,35.42,1009.92,KA002
2009-03-23,Bengaluru,25.67,33,20,52.79,1.3,4.38,36.67,1011.42,KA002
2009-03-24,Bengaluru,24.29,30,21,60.88,1.7,4.21,41.25,1012.46,KA002
2009-03-25,Bengaluru,24.08,29,20,58.71,0.3,5.04,24.46,1012.0,KA002
2009-03-26,Bengaluru,24.88,30,19,55.96,0.1,5.17,20.17,1010.92,KA002
2009-03-27,Bengaluru,26.79,34,21,50.92,0.4,4.67,17.67,1010.92,KA002
2009-03-28,Bengaluru,26.96,35,21,49.25,0.4,5.83,18.13,1010.92,KA002
2009-03-29,Bengaluru,26.13,32,20,44.04,0.0,8.79,6.92,1010.46,KA002
2009-03-30,Bengaluru,26.63,34,19,41.83,0.0,8.08,2.63,1010.0,KA002
2009-03-31,Bengaluru,27.0,35,19,37.5,0.0,9.71,1.46,1008.83,KA002
2009-04-01,Bengaluru,27.46,36,19,35.79,0.0,7.5,2.79,1008.75,KA002
2009-04-02,Bengaluru,27.29,35,20,36.0,0.0,10.08,3.88,1009.63,KA002
2009-04-03,Bengaluru,27.25,35,18,34.92,0.0,10.29,1.38,1010.29,KA002
2009-04-04,Bengaluru,27.75,36,19,34.29,0.0,11.71,0.25,1010.54,KA002
